route,direction,scheduled,actual,minutes_late
C,northbound,2016-04-08 18:57:28,2016-04-08 18:51:15,-6.216666666666667
C,northbound,2016-04-08 16:40:33,2016-04-08 16:38:20,-2.216666666666667
C,northbound,2016-04-08 22:45:25,2016-04-08 22:44:54,-0.5166666666666667
C,northbound,2016-04-08 20:27:25,2016-04-08 20:28:37,1.2
C,northbound,2016-04-08 18:10:31,2016-04-08 18:09:49,-0.7
C,northbound,2016-04-08 15:50:31,2016-04-08 15:48:21,-2.1666666666666665
C,northbound,2016-04-08 13:33:28,2016-04-08 13:30:19,-3.15
C,northbound,2016-04-08 11:09:28,2016-04-08 11:05:40,-3.8
C,northbound,2016-04-08 08:51:31,2016-04-08 09:02:06,10.583333333333334
C,northbound,2016-04-08 16:47:33,2016-04-08 16:51:11,3.6333333333333333
C,northbound,2016-04-08 14:20:31,2016-04-08 14:23:35,3.066666666666667
C,northbound,2016-04-08 12:09:28,2016-04-08 12:07:40,-1.8
C,northbound,2016-04-08 09:45:28,2016-04-08 09:50:18,4.833333333333333
C,northbound,2016-04-08 07:33:31,2016-04-08 07:35:03,1.5333333333333334
C,northbound,2016-04-08 18:47:31,2016-04-08 18:50:20,2.816666666666667
C,northbound,2016-04-08 16:26:33,2016-04-08 16:33:13,6.666666666666667
C,northbound,2016-04-08 13:57:31,2016-04-08 13:53:08,-4.383333333333334
C,northbound,2016-04-08 09:18:28,2016-04-08 09:15:32,-2.933333333333333
C,northbound,2016-04-08 06:54:31,2016-04-08 06:51:30,-3.0166666666666666
C,northbound,2016-04-08 11:21:28,2016-04-08 11:18:15,-3.216666666666667
C,northbound,2016-04-07 22:30:25,2016-04-07 22:30:11,-0.23333333333333334
C,northbound,2016-04-07 20:15:25,2016-04-07 20:15:32,0.11666666666666667
C,northbound,2016-04-07 17:52:33,2016-04-07 17:57:25,4.866666666666666
C,northbound,2016-04-07 15:24:31,2016-04-07 15:35:11,10.666666666666666
C,northbound,2016-04-07 13:09:28,2016-04-07 13:07:37,-1.85
C,northbound,2016-04-07 10:45:28,2016-04-07 10:54:13,8.75
C,northbound,2016-04-07 08:32:31,2016-04-07 08:32:03,-0.4666666666666667
C,northbound,2016-04-07 22:00:25,2016-04-07 21:56:51,-3.566666666666667
C,northbound,2016-04-07 19:30:28,2016-04-07 19:37:47,7.316666666666666
C,northbound,2016-04-07 17:08:33,2016-04-07 17:12:18,3.75
C,northbound,2016-04-07 18:01:31,2016-04-07 18:09:48,8.283333333333333
C,northbound,2016-04-07 15:34:31,2016-04-07 15:49:53,15.366666666666667
C,northbound,2016-04-07 06:46:31,2016-04-07 06:41:10,-5.35
C,northbound,2016-04-07 17:37:33,2016-04-07 17:42:49,5.266666666666667
C,northbound,2016-04-07 15:09:31,2016-04-07 15:19:42,10.183333333333334
C,northbound,2016-04-07 12:45:28,2016-04-07 12:44:58,-0.5
C,northbound,2016-04-07 10:21:28,2016-04-07 10:22:17,0.8166666666666667
C,northbound,2016-04-07 08:06:31,2016-04-07 08:06:42,0.18333333333333332
C,northbound,2016-04-07 06:00:25,2016-04-07 06:02:11,1.7666666666666666
C,northbound,2016-04-07 08:17:31,2016-04-07 08:23:04,5.55
C,northbound,2016-04-07 16:47:33,2016-04-07 16:50:25,2.8666666666666667
C,northbound,2016-04-07 11:33:28,2016-04-07 11:31:33,-1.9166666666666667
C,northbound,2016-04-06 07:28:31,2016-04-06 07:41:14,12.716666666666667
C,northbound,2016-04-06 09:25:28,2016-04-06 09:40:40,15.2
C,northbound,2016-04-06 07:02:31,2016-04-06 07:12:47,10.266666666666667
C,northbound,2016-04-06 21:30:25,2016-04-06 21:28:24,-2.0166666666666666
C,northbound,2016-04-06 19:17:28,2016-04-06 19:17:47,0.31666666666666665
C,northbound,2016-04-06 17:01:33,2016-04-06 17:00:15,-1.3
C,northbound,2016-04-06 07:51:31,2016-04-06 07:54:11,2.6666666666666665
C,northbound,2016-04-06 20:00:25,2016-04-06 20:03:28,3.05
C,northbound,2016-04-06 17:29:33,2016-04-06 17:30:31,0.9666666666666667
C,northbound,2016-04-06 15:01:31,2016-04-06 15:04:45,3.2333333333333334
C,northbound,2016-04-06 08:12:31,2016-04-06 08:20:18,7.783333333333333
